NASA SC(2)-0714 AIRFOIL				
0.14 max tickness					
1 Is supercritical					
-2	0.3624	0.00604	0.00259	-0.1423	0.903	0.6283
-1.75	0.3915	0.00612	0.00264	-0.1422	0.8923	0.6338
-1.5	0.4207	0.00611	0.00263	-0.1422	0.8812	0.6377
-1.25	0.4495	0.00614	0.00264	-0.142	0.8667	0.6403
-1	0.4775	0.00625	0.00272	-0.1417	0.8486	0.6444
-0.75	0.5056	0.0064	0.0028	-0.1414	0.8249	0.6486
-0.5	0.5334	0.00657	0.00281	-0.141	0.7892	0.6506
-0.25	0.5582	0.00696	0.00288	-0.1401	0.7185	0.6519
0	0.5788	0.00773	0.00307	-0.1385	0.5937	0.6532
0.25	0.6005	0.00847	0.0033	-0.1374	0.474	0.6553
0.5	0.6239	0.00912	0.00355	-0.1365	0.3814	0.6572
0.75	0.6476	0.00975	0.00381	-0.1357	0.2953	0.6589
1	0.6727	0.01026	0.00403	-0.1352	0.2302	0.6604
1.25	0.6985	0.0107	0.00423	-0.1348	0.1803	0.6616
1.5	0.7252	0.01105	0.00442	-0.1345	0.1475	0.6627
1.75	0.7525	0.01133	0.00459	-0.1343	0.1263	0.6639
2	0.7798	0.01161	0.00476	-0.1341	0.1076	0.6651
2.25	0.8071	0.01188	0.00495	-0.1339	0.0941	0.6663
2.5	0.8347	0.01211	0.00512	-0.1338	0.0846	0.6675
2.75	0.8621	0.01237	0.00532	-0.1336	0.077	0.6687
3	0.8893	0.01263	0.00552	-0.1333	0.0713	0.6697
3.25	0.9168	0.01286	0.00573	-0.1332	0.0675	0.6706
3.5	0.9442	0.01307	0.00592	-0.133	0.0642	0.6717
3.75	0.9709	0.01334	0.00617	-0.1326	0.061	0.6733
4	0.9984	0.01351	0.00636	-0.1324	0.0593	0.6746
4.25	1.0252	0.01374	0.00658	-0.1321	0.0572	0.6758
4.5	1.0514	0.01404	0.00686	-0.1317	0.0547	0.677
4.75	1.0778	0.01429	0.00712	-0.1313	0.0531	0.6782
5	1.1044	0.01451	0.00736	-0.1309	0.0515	0.6794
5.25	1.1306	0.01477	0.00762	-0.1304	0.0499	0.6806
5.5	1.1556	0.01515	0.00797	-0.1298	0.0478	0.6819
5.75	1.1815	0.01542	0.00826	-0.1293	0.0466	0.6833
6	1.2074	0.01568	0.00854	-0.1287	0.0452	0.6848
6.25	1.2327	0.01598	0.00883	-0.1282	0.0437	0.6861
6.5	1.2561	0.01649	0.00932	-0.1272	0.0416	0.6874
6.75	1.2818	0.01671	0.00957	-0.1267	0.0406	0.6884
7	1.3068	0.01701	0.00988	-0.126	0.0393	0.6893
7.25	1.3312	0.01734	0.01021	-0.1253	0.038	0.6904
7.5	1.3533	0.01788	0.01074	-0.1242	0.0365	0.6924
7.75	1.3775	0.01817	0.01109	-0.1234	0.0357	0.694
8	1.4012	0.01849	0.01145	-0.1225	0.0348	0.6955
8.25	1.4243	0.01885	0.01183	-0.1215	0.0339	0.6969
8.5	1.4466	0.01924	0.01224	-0.1204	0.033	0.6984
8.75	1.4667	0.0198	0.01281	-0.1189	0.032	0.6998
9	1.4869	0.0203	0.01335	-0.1174	0.0313	0.7014
9.25	1.5081	0.02068	0.01377	-0.116	0.0307	0.7031
9.5	1.5283	0.0211	0.01423	-0.1145	0.0301	0.7048
9.75	1.5477	0.02156	0.01472	-0.1129	0.0295	0.7064
10	1.5661	0.02204	0.01523	-0.1111	0.029	0.7078
10.25	1.5805	0.02258	0.01579	-0.1086	0.0285	0.7089
10.5	1.5942	0.02327	0.01652	-0.1061	0.0279	0.7106
10.75	1.606	0.02418	0.01749	-0.1033	0.0273	0.7128
11	1.6227	0.02476	0.01814	-0.1014	0.0271	0.7147
11.25	1.6383	0.0254	0.01885	-0.0993	0.0268	0.7164
11.5	1.6534	0.02609	0.01962	-0.0972	0.0264	0.7181
11.75	1.6676	0.02684	0.02043	-0.095	0.0261	0.7199
12	1.6813	0.02763	0.02128	-0.0929	0.0258	0.7218
12.25	1.6944	0.02846	0.02217	-0.0907	0.0254	0.7236
12.5	1.707	0.02934	0.02311	-0.0884	0.0251	0.7255
12.75	1.7183	0.0303	0.02412	-0.0861	0.0249	0.7273
13	1.7286	0.03136	0.02524	-0.0838	0.0246	0.7287
13.25	1.737	0.03258	0.02652	-0.0814	0.0242	0.7311
13.5	1.7408	0.03415	0.02817	-0.0785	0.0239	0.7332
13.75	1.7397	0.03618	0.03032	-0.0753	0.0235	0.7349
14	1.7486	0.03744	0.03168	-0.0732	0.0234	0.7368
14.25	1.7563	0.03882	0.03314	-0.0712	0.0232	0.7388
14.5	1.7627	0.04034	0.03477	-0.0692	0.0231	0.7408
14.75	1.7678	0.04204	0.03656	-0.0672	0.0229	0.7428
15	1.7714	0.04392	0.03854	-0.0653	0.0227	0.7446
15.25	1.7735	0.04598	0.0407	-0.0635	0.0226	0.7462
15.5	1.7747	0.04821	0.04304	-0.0618	0.0224	0.7476
15.75	1.7743	0.0507	0.04564	-0.0604	0.0223	0.7499
16	1.7734	0.05336	0.04842	-0.0592	0.0221	0.7519
16.25	1.7707	0.05636	0.05154	-0.0583	0.0219	0.7537
16.5	1.7672	0.0596	0.05489	-0.0577	0.0218	0.7556
16.75	1.7617	0.06328	0.05869	-0.0575	0.0217	0.7575
17	1.7551	0.06733	0.06286	-0.0578	0.0216	0.7593
17.25	1.7466	0.07186	0.06751	-0.0585	0.0215	0.7611
17.5	1.7358	0.07696	0.07274	-0.0598	0.0214	0.7626
17.75	1.7224	0.08271	0.07862	-0.0618	0.0213	0.7639
18	1.707	0.08905	0.0851	-0.0644	0.0212	0.7649
18.25	1.6882	0.09621	0.09241	-0.0677	0.0211	0.766
18.5	1.6675	0.10392	0.10028	-0.0717	0.0211	0.7673
18.75	1.6434	0.11238	0.1089	-0.0763	0.021	0.7683
19	1.6181	0.12127	0.11795	-0.0814	0.021	0.7691
19.25	1.5917	0.13056	0.1274	-0.0871	0.021	0.7699
